team,player_name,conc_player_name,position,games_played,games_started,minutes_played,goals,accurate_pass_percentage,assists,total_scoring_attempts,on_target_scoring_attempts,total_attacking_assists,tackles,fouls_committed,fouls_suffered,total_offside,yellow_cards,red_cards,accurate_passes,total_passes,crosses,assists_avg_over_90_mins,long_balls,successful_short_passes,turnovers,goals_avg_over_90_mins,penalty_kick_goals,penalty_kick_taken,penalty_kick_percentage,accurate_shooting_percentage,successful_dribble,dribble_percentage,goals_and_assists,tackles,tackles_percentage,interceptions,headed_duel,gk_saves,gk_long_ball_percentage,gk_total_clearance
Orlando Pride,Kerry Abello,KERRYABELLO,DEFENDER,11,11,927,0,81,1,5,3,1,13,9,6,0,2,0,353,435,3,0.1,9,341,171,0,0,0,0,60,12,52,1,13,45,10,5,,,
Seattle Reign,Emeri Adames,EMERIADAMES,FORWARD,11,3,273,1,75,0,8,2,0,3,3,0,0,0,0,59,79,1,0,1,57,64,0.33,0,0,0,25,3,20,1,3,60,3,7,,,
Orlando Pride, Adriana,ADRIANA,FORWARD,9,7,641,1,76,1,14,7,1,2,1,12,3,0,0,151,200,3,0.14,5,143,122,0.14,1,1,100,50,11,41,2,2,50,5,4,,,
San Diego Wave FC,Amirah Ali,AMIRAHALI,FORWARD,5,1,114,0,63,0,3,2,0,2,3,2,0,0,0,17,27,3,0,0,17,34,0,0,0,0,67,1,33,0,2,67,1,2,,,
Orlando Pride,Amanda Allen,AMANDAALLEN,FORWARD,7,,81,0,70,1,0,0,1,3,1,0,0,1,0,21,30,3,1.11,0,21,25,0,0,0,0,0,3,60,1,3,60,0,0,,,
Bay FC,Emmie Allen,EMMIEALLEN,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Houston Dash,Michelle Alozie,MICHELLEALOZIE,FORWARD,10,5,480,0,65,1,9,4,1,3,6,5,7,1,0,62,95,3,0.19,1,60,89,0,0,0,0,44,3,25,1,3,50,2,22,,,
Houston Dash,Emily Alvarado,EMILYALVARADO,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay FC,Joelle Anderson,JOELLEANDERSON,MIDFIELDER,11,7,670,1,76,2,8,3,2,18,4,2,0,0,0,273,360,3,0.27,28,245,138,0.13,0,0,0,38,5,50,3,18,75,9,11,,,
Angel City FC,Angelina Anderson,ANGELINAANDERSON,GOALKEEPER,3,3,270,0,87,0,0,0,0,0,0,0,0,0,0,142,164,3,0,27,115,23,0,0,0,0,0,0,0,0,0,0,0,0,17,60,2
Chicago Red Stars,Hannah Anderson,HANNAHANDERSON,DEFENDER,1,,9,0,69,0,0,0,0,0,0,0,0,0,0,9,13,3,0,1,8,4,0,0,0,0,0,0,0,0,0,0,0,0,,,
Houston Dash, Andressa,ANDRESSA,MIDFIELDER,11,5,401,0,73,1,3,2,1,5,16,6,0,1,0,90,123,3,0.22,3,87,63,0,0,0,0,67,5,50,1,5,71,4,9,,,
Orlando Pride, Angelina,ANGELINA,MIDFIELDER,7,7,621,1,80,1,6,2,1,9,4,6,1,0,0,229,286,3,0.14,10,219,105,0.14,0,0,0,33,7,50,2,9,50,4,7,,,
San Diego Wave FC,Kimmi Ascanio,KIMMIASCANIO,MIDFIELDER,5,2,137,0,82,0,0,0,0,2,1,2,0,0,0,47,57,3,0,1,46,25,0,0,0,0,0,1,25,0,2,40,0,3,,,
Seattle Reign,Olivia Athens,OLIVIAATHENS,MIDFIELDER,9,4,321,0,80,0,1,1,0,8,2,3,1,2,0,115,144,3,0,2,113,49,0,0,0,0,100,1,25,0,8,89,0,20,,,
Houston Dash,Madison Ayson,MADISONAYSON,MIDFIELDER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Houston Dash,Ramona Bachmann,RAMONABACHMANN,FORWARD,6,6,467,1,77,0,3,2,0,11,11,9,2,3,0,141,183,3,0,6,132,97,0.19,0,0,0,67,10,67,1,11,100,2,3,,,
Racing Louisville FC,Jordan Baggett,JORDANBAGGETT,MIDFIELDER,1,1,66,0,88,0,0,0,0,1,1,0,0,0,0,23,26,3,0,1,22,5,0,0,0,0,0,1,100,0,1,100,0,1,,,
Racing Louisville FC,Elexa Bahr,ELEXABAHR,FORWARD,10,10,764,1,79,1,16,5,1,6,2,10,6,0,0,132,168,3,0.12,4,128,86,0.12,0,0,0,31,10,67,2,6,43,5,7,,,
Bay FC,Dorian Bailey,DORIANBAILEY,MIDFIELDER,11,5,490,1,83,0,7,2,0,4,3,3,1,0,0,148,179,3,0,4,143,59,0.18,0,0,0,29,5,50,1,4,33,4,20,,,
Seattle Reign,Bethany Balcer,BETHANYBALCER,FORWARD,10,8,727,4,64,0,13,8,0,6,9,11,6,0,1,145,228,3,0,3,141,122,0.5,1,1,100,62,4,50,4,6,86,2,64,,,
Kansas City Current,Elizabeth Ball,ELIZABETHBALL,DEFENDER,7,6,556,0,75,0,0,0,0,6,2,0,0,0,0,160,212,3,0,14,146,59,0,0,0,0,0,0,0,0,6,67,11,15,,,
Kansas City Current,Stine Ballisager,STINEBALLISAGER,DEFENDER,8,4,366,0,83,0,0,0,0,2,4,1,0,0,0,225,271,3,0,18,207,47,0,0,0,0,0,0,0,0,2,100,3,10,,,
Orlando Pride,Barbra Banda,BARBRABANDA,FORWARD,7,6,515,8,58,2,26,21,2,2,6,10,1,0,0,55,95,3,0.35,2,49,108,1.4,0,0,0,81,13,54,10,2,67,2,9,,,
San Diego Wave FC,Melanie Barcenas,MELANIEBARCENAS,FORWARD,1,,1,0,100,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,,,
Seattle Reign,Lauren Barnes,LAURENBARNES,DEFENDER,11,10,882,0,82,0,0,0,0,7,7,4,0,1,0,496,605,3,0,45,451,129,0,0,0,0,0,1,100,0,7,44,12,9,,,
Washington Spirit,Nicole Renee Barnhart,NICOLE RENEEBARNHART,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Diego Wave FC,Hillary Beall,HILLARYBEALL,GOALKEEPER,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay FC,Jennifer Beattie,JENNIFERBEATTIE,DEFENDER,5,3,202,0,87,0,0,0,0,1,1,0,0,0,0,152,175,3,0,11,141,26,0,0,0,0,0,0,0,0,1,50,0,11,,,
Bay FC,Scarlett Becerra,SCARLETTBECERRA,FORWARD,8,8,654,1,66,0,4,2,0,12,13,5,1,2,0,120,182,3,0,5,113,132,0.14,0,0,0,50,9,53,1,12,57,7,17,,,
Portland Thorns,Janine Beckie,JANINEBECKIE,FORWARD,11,7,612,3,70,1,18,10,1,8,1,7,4,0,0,152,218,3,0.15,3,146,134,0.44,0,0,0,56,12,40,4,8,62,5,16,,,
